country,Difference,code
Australia,-126001949.0,AUS
Austria,13801533.0,AUT
Belgium,1960099037.0,BEL
Brazil,-36606123638.0,BRA
Canada,3397685234.0,CAN
Chile,-7333564781.0,CHL
Colombia,-25530345512.0,COL
Cyprus,-968149348.0,CYP
Czech Republic,-2132982906.0,CZE
Denmark,2786105819.0,DNK
Estonia,-251070561.0,EST
Finland,485257922.0,FIN
France,15218918781.0,FRA
Germany,47218378657.0,DEU
Greece,-486710721.0,GRC
Hungary,-2925002939.0,HUN
Iceland,-17887544.0,ISL
India,-133980469969.0,IND
Ireland,-639494271.0,IRL
Italy,1434829557.0,ITA
Japan,112101151914.0,JPN
Korea,-23995275733.0,KOR
Kuwait,-6402461757.0,KWT
Latvia,-423495040.0,LVA
Liechtenstein,-14022383.0,LIE
Lithuania,-514143270.0,LTU
Luxembourg,-443485810.0,LUX
Monaco,941387.0,MCO
Netherlands,8939647189.0,NLD
New Zealand,-168838425.0,NZL
Norway,4048812437.0,NOR
Poland,-24516822004.0,POL
Portugal,-106341740.0,PRT
Qatar,-629264696.0,QAT
Romania,-3329059861.0,ROU
Saudi Arabia,-3179338414.0,SAU
Slovak Republic,-820800049.0,SVK
Slovenia,-225285172.0,SVN
South Africa,-18655555070.0,ZAF
Spain,1452984096.0,ESP
Sweden,6304288721.0,SWE
Switzerland,2843761170.0,CHE
Taiwan,-3315816912.0,TWN
Thailand,-49041291979.0,THA
United Arab Emirates,-232569486.0,ARE
United Kingdom,22733195412.0,GBR
United States,116071813074.0,USA
