year,country,don_rec
1973,United States,1553264205
1973,Japan,938965880
1973,Germany,562232384
1973,United Kingdom,442579189
1973,France,247189555
1973,Netherlands,162750945
1973,Sweden,168369255
1973,Norway,35874848
1973,Canada,437928427
1973,Switzerland,14060941
1973,Denmark,
1973,Belgium,39251336
1973,Spain,
1973,Italy,166719069
1973,Finland,
1973,Austria,
1973,Monaco,
1973,Liechtenstein,
1973,Iceland,
1973,Portugal,
1973,Australia,46285863
1973,New Zealand,
1973,Slovenia,
1973,United Arab Emirates,-65097
1973,Estonia,
1973,Latvia,
1973,Luxembourg,
1973,Greece,
1973,Lithuania,
1973,Qatar,
1973,Ireland,
1973,Slovak Republic,
1973,Cyprus,-9613414
1973,Czech Republic,
1973,Hungary,
1973,Saudi Arabia,-65097
1973,Taiwan,
1973,Romania,
1973,Kuwait,-325483
1973,Chile,-88056078
1973,South Africa,
1973,Korea,-1.36E+09
1973,Poland,
1973,Colombia,-549944785
1973,Brazil,-312075045
1973,Thailand,-206363405
1973,India,-2.29E+09
1974,Australia,26950877
1974,Austria,24126329
1974,Belgium,43588598
1974,Brazil,-306601048
1974,Canada,68502158
1974,Chile,-257689227
1974,Colombia,-203545814
1974,Cyprus,-16432279
1974,Denmark,56839286
1974,France,367384662
1974,Germany,698168091
1974,India,-3697747278
1974,Japan,2730202327
1974,Korea,-1455639048
1974,Netherlands,323468392
1974,Norway,94887523
1974,Sweden,30299330
1974,Switzerland,64549529
1974,Taiwan,-115048
1974,Thailand,-867668418
1974,United Kingdom,1405378815
1974,United States,871092243
1975,Australia,77691781
1975,Belgium,38863307
1975,Brazil,-100725686
1975,Canada,93027681
1975,Chile,-365408442
1975,Colombia,-145779156
1975,Cyprus,-5864941
1975,Denmark,10392556
1975,France,192416969
1975,Germany,833859928
1975,India,-3000656166
1975,Japan,1339039677
1975,Korea,-299226023
1975,Netherlands,130708382
1975,Norway,64575343
1975,Sweden,201059589
1975,Switzerland,103204755
1975,Thailand,-333639956
1975,United Kingdom,222187891
1975,United States,944272511
1976,Australia,27718070
1976,Austria,12981849
1976,Belgium,36126619
1976,Brazil,-83580485
1976,Canada,116287322
1976,Chile,-155551297
1976,Colombia,-143082677
1976,Cyprus,-31022257
1976,Denmark,28849377
1976,France,183658423
1976,Germany,639963734
1976,India,-2233586413
1976,Italy,35601469
1976,Japan,762168614
1976,Korea,-938952566
1976,Kuwait,206494798
1976,Netherlands,426349160
1976,Norway,10419282
1976,Sweden,151806434
1976,Switzerland,43577287
1976,Thailand,-110042103
1976,United Arab Emirates,64911546
1976,United Kingdom,51613566
1976,United States,897290248
1977,Australia,72648152
1977,Austria,2608725
1977,Belgium,35853879
1977,Brazil,-501438883
1977,Canada,38957778
1977,Chile,-2568149
1977,Colombia,-67799905
1977,Cyprus,-20945184
1977,Denmark,112241594
1977,France,168900067
